month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
4,4,1,2016,6,78,70,75,2,866,755.9682141219573
4,5,1,2016,6,78,70,75,2,4254,4432.309336931474
4,6,1,2016,6,78,70,75,2,7234,6815.608672595669
4,7,1,2016,6,78,70,75,2,6425,6687.618732016579
4,8,1,2016,6,76,71,83,2,6968,7269.815621033301
4,9,1,2016,6,76,71,83,2,4678,5923.610093436988
4,10,1,2016,6,76,71,83,2,4767,4331.607034874646
4,11,1,2016,6,82,72,70,3,4451,4370.12469835981
4,12,1,2016,6,82,72,70,3,3702,4537.09767762712
4,13,1,2016,6,82,72,70,3,3991,3837.9687986144604
4,14,1,2016,6,85,75,72,2,2823,3239.957707324743
4,15,1,2016,6,85,75,72,2,2801,3105.234641289371
4,16,1,2016,6,85,75,72,2,2904,3186.689282653829
4,17,1,2016,6,91,71,53,2,3190,3277.002040304263
4,18,1,2016,6,91,71,53,2,3344,3229.833252907225
4,19,1,2016,6,91,71,53,2,3443,3498.698865669839
4,20,1,2016,6,82,77,84,3,3246,3008.22060809058
4,21,1,2016,6,82,77,84,3,1990,1965.0139828498177
4,22,1,2016,6,82,77,84,3,1,0.0
4,23,1,2016,6,84,72,66,2,0,0.0
4,4,2,2016,6,84,77,79,1,230,253.0691625757102
4,5,2,2016,6,78,70,75,2,1646,1478.7920841536652
4,6,2,2016,6,78,70,75,2,3119,2770.835851274967
4,7,2,2016,6,78,70,75,2,2423,2431.398260420906
4,8,2,2016,6,76,71,83,2,2115,2359.8940890643753
4,9,2,2016,6,76,71,83,2,1464,1855.1435911058097
4,10,2,2016,6,76,71,83,2,1995,1657.2820156843147
4,11,2,2016,6,82,72,70,3,1778,1743.0056808607844
4,12,2,2016,6,82,72,70,3,1742,1840.8371568149382
4,13,2,2016,6,82,72,70,3,1693,1697.0131534179725
4,14,2,2016,6,85,75,72,2,1385,1669.0920318210708
4,15,2,2016,6,85,75,72,2,1567,1551.4361051466892
4,16,2,2016,6,85,75,72,2,1920,1614.281178459904
4,17,2,2016,6,91,71,53,2,2456,2188.404161692177
4,18,2,2016,6,91,71,53,2,2055,2167.091143733976
4,19,2,2016,6,91,71,53,2,1696,1587.1737361628577
4,20,2,2016,6,82,77,84,3,1102,1336.0142191791072
4,21,2,2016,6,82,77,84,3,792,798.644160186857
4,22,2,2016,6,82,77,84,3,49,28.77218881900105
4,23,2,2016,6,84,72,66,2,1,0.0
4,4,3,2016,6,84,77,79,1,117,108.29256374889441
4,5,3,2016,6,78,70,75,2,909,634.5383035320889
4,6,3,2016,6,78,70,75,2,1369,1339.7737913617493
4,7,3,2016,6,78,70,75,2,1239,1240.4630565201792
4,8,3,2016,6,76,71,83,2,1082,1151.0521965044875
4,9,3,2016,6,76,71,83,2,965,977.6552166583957
4,10,3,2016,6,76,71,83,2,905,909.9959578552779
4,11,3,2016,6,82,72,70,3,950,960.2393188258138
4,12,3,2016,6,82,72,70,3,857,938.3695969845464
4,13,3,2016,6,82,72,70,3,868,954.9418863914027
4,14,3,2016,6,85,75,72,2,704,1028.3471354917688
4,15,3,2016,6,85,75,72,2,927,996.5223354449964
4,16,3,2016,6,85,75,72,2,1086,1145.691375667031
4,17,3,2016,6,91,71,53,2,1388,1267.0611512676921
4,18,3,2016,6,91,71,53,2,1049,1126.4414933691323
4,19,3,2016,6,91,71,53,2,745,759.5598782121868
4,20,3,2016,6,82,77,84,3,579,663.4684194306707
4,21,3,2016,6,82,77,84,3,381,312.12334433685555
4,22,3,2016,6,82,77,84,3,16,43.271197262426355
4,4,4,2016,6,84,77,79,1,249,261.7717024707183
4,5,4,2016,6,78,70,75,2,1420,1392.9126747931718
4,6,4,2016,6,78,70,75,2,1772,1533.0299790930442
4,7,4,2016,6,78,70,75,2,1580,1557.9560944377395
4,8,4,2016,6,76,71,83,2,2113,2112.5496387722756
4,9,4,2016,6,76,71,83,2,1999,2188.3374186765104
4,10,4,2016,6,76,71,83,2,1905,2460.036329943438
4,11,4,2016,6,82,72,70,3,2367,2258.046195169486
4,12,4,2016,6,82,72,70,3,2323,2351.882389179757
4,13,4,2016,6,82,72,70,3,2223,2352.350855586933
4,14,4,2016,6,85,75,72,2,2088,2485.230074752258
4,15,4,2016,6,85,75,72,2,2444,2435.5914473274743
4,16,4,2016,6,85,75,72,2,2396,2446.6703149405116
4,17,4,2016,6,91,71,53,2,2742,2966.319912500953
4,18,4,2016,6,91,71,53,2,2706,2975.336969168659
4,19,4,2016,6,91,71,53,2,2442,2572.03240656526
4,20,4,2016,6,82,77,84,3,1900,1937.3326753894398
4,21,4,2016,6,82,77,84,3,1376,1537.3578378479174
4,22,4,2016,6,82,77,84,3,212,187.20643555846954
4,23,4,2016,6,84,72,66,2,0,0.0
4,4,5,2016,6,84,77,79,1,15,0.0
4,5,5,2016,6,78,70,75,2,101,23.355207237313994
4,6,5,2016,6,78,70,75,2,289,158.1954479441318
4,7,5,2016,6,78,70,75,2,412,398.0994305876787
4,8,5,2016,6,76,71,83,2,416,386.4531726569496
4,9,5,2016,6,76,71,83,2,359,353.0495083089238
4,10,5,2016,6,76,71,83,2,357,347.8723123525461
4,11,5,2016,6,82,72,70,3,390,357.42532042303736
4,12,5,2016,6,82,72,70,3,319,332.0945696536615
4,13,5,2016,6,82,72,70,3,423,394.85751872163866
4,14,5,2016,6,85,75,72,2,432,552.8997734107926
4,15,5,2016,6,85,75,72,2,492,536.1303473052795
4,16,5,2016,6,85,75,72,2,558,569.7231767243907
4,17,5,2016,6,91,71,53,2,736,838.93792285668
4,18,5,2016,6,91,71,53,2,640,758.2931635454279
4,19,5,2016,6,91,71,53,2,484,660.2860116397871
4,20,5,2016,6,82,77,84,3,290,497.48690698705
4,21,5,2016,6,82,77,84,3,221,213.09088618513198
4,22,5,2016,6,82,77,84,3,59,85.16614071784538
4,23,5,2016,6,84,72,66,2,1,15.752435487199262
4,4,6,2016,6,84,77,79,1,8,0.0
4,5,6,2016,6,78,70,75,2,151,30.86513665472719
4,6,6,2016,6,78,70,75,2,441,412.08515611283053
4,7,6,2016,6,78,70,75,2,695,634.0713208433277
4,8,6,2016,6,76,71,83,2,542,604.6230399824675
4,9,6,2016,6,76,71,83,2,509,560.5299212585783
4,10,6,2016,6,76,71,83,2,494,561.9976114900294
4,11,6,2016,6,82,72,70,3,633,597.3004191449221
4,12,6,2016,6,82,72,70,3,680,708.0276991772813
4,13,6,2016,6,82,72,70,3,799,775.2442759551395
4,14,6,2016,6,85,75,72,2,951,955.5003637513419
4,15,6,2016,6,85,75,72,2,1224,1109.1793350244561
4,16,6,2016,6,85,75,72,2,1307,1240.7762720444034
4,17,6,2016,6,91,71,53,2,1821,1807.6015496437926
4,18,6,2016,6,91,71,53,2,1812,1957.2589271915765
4,19,6,2016,6,91,71,53,2,1294,1499.611875492487
4,20,6,2016,6,82,77,84,3,870,899.550908266415
4,21,6,2016,6,82,77,84,3,599,617.6024910278434
4,22,6,2016,6,82,77,84,3,220,237.32822906717672
4,23,6,2016,6,84,72,66,2,0,12.014648988759854
4,4,7,2016,6,84,77,79,1,42,26.266825345944767
4,5,7,2016,6,78,70,75,2,569,494.21313885599244
4,6,7,2016,6,78,70,75,2,1552,1362.987940199109
4,7,7,2016,6,78,70,75,2,2018,1889.1338897418348
4,8,7,2016,6,76,71,83,2,1915,2109.6605804988376
4,9,7,2016,6,76,71,83,2,1764,1740.2487102911773
4,10,7,2016,6,76,71,83,2,1558,1642.4197722169606
4,11,7,2016,6,82,72,70,3,1679,1719.9671204427802
4,12,7,2016,6,82,72,70,3,1941,1865.4882939428446
4,13,7,2016,6,82,72,70,3,1909,1876.7635390350597
4,14,7,2016,6,85,75,72,2,1990,1736.292254883962
4,15,7,2016,6,85,75,72,2,2278,2095.97810771507
4,16,7,2016,6,85,75,72,2,2526,2290.820578182473
4,17,7,2016,6,91,71,53,2,2648,2423.931361135915
4,18,7,2016,6,91,71,53,2,2740,2434.286715083259
4,19,7,2016,6,91,71,53,2,2337,2434.315313812978
4,20,7,2016,6,82,77,84,3,1894,1950.3229813494659
4,21,7,2016,6,82,77,84,3,1296,1438.6545830685736
4,22,7,2016,6,82,77,84,3,606,650.2148380288836
4,23,7,2016,6,84,72,66,2,0,0.0
4,4,8,2016,6,84,77,79,1,10,22.09099758797401
4,5,8,2016,6,78,70,75,2,350,228.4927869350509
4,6,8,2016,6,78,70,75,2,1016,928.2232297668694
4,7,8,2016,6,78,70,75,2,1422,1267.1871215430342
4,8,8,2016,6,76,71,83,2,1275,1249.0733339832923
4,9,8,2016,6,76,71,83,2,1054,1037.1169266099341
4,10,8,2016,6,76,71,83,2,985,954.9963690725423
4,11,8,2016,6,82,72,70,3,866,925.8744396479399
4,12,8,2016,6,82,72,70,3,941,940.9819368606092
4,13,8,2016,6,82,72,70,3,923,925.621628798715
4,14,8,2016,6,85,75,72,2,1008,1112.9017593842289
4,15,8,2016,6,85,75,72,2,1041,1155.6359095974112
4,16,8,2016,6,85,75,72,2,1179,1094.5926385081927
4,17,8,2016,6,91,71,53,2,1464,1470.8729665214926
4,18,8,2016,6,91,71,53,2,1404,1442.8079285199506
4,19,8,2016,6,91,71,53,2,1187,1337.515995267472
4,20,8,2016,6,82,77,84,3,839,1161.3865744874604
4,21,8,2016,6,82,77,84,3,729,830.6449137043519
4,22,8,2016,6,82,77,84,3,373,428.0948989507336
4,23,8,2016,6,84,72,66,2,0,0.0
4,4,9,2016,6,84,77,79,1,12,26.406172794062613
4,5,9,2016,6,78,70,75,2,529,460.8247838248471
4,6,9,2016,6,78,70,75,2,1367,1442.9828735204444
4,7,9,2016,6,78,70,75,2,2192,2130.2455195451066
4,8,9,2016,6,76,71,83,2,2084,1864.758650196753
4,9,9,2016,6,76,71,83,2,1815,1794.6350358200668
4,10,9,2016,6,76,71,83,2,1684,1529.9924518067048
4,11,9,2016,6,82,72,70,3,1575,1603.5338506178834
4,12,9,2016,6,82,72,70,3,1675,1605.0364203610618
4,13,9,2016,6,82,72,70,3,1442,1558.1297599276422
4,14,9,2016,6,85,75,72,2,1545,1639.0108955879812
4,15,9,2016,6,85,75,72,2,1394,1611.3123641801874
4,16,9,2016,6,85,75,72,2,1711,1880.5039643088771
4,17,9,2016,6,91,71,53,2,1652,1704.1835659621204
4,18,9,2016,6,91,71,53,2,1699,1621.751798735449
4,19,9,2016,6,91,71,53,2,1532,1681.2763604666545
4,20,9,2016,6,82,77,84,3,1206,1290.9717990459944
4,21,9,2016,6,82,77,84,3,825,929.9391019057917
4,22,9,2016,6,82,77,84,3,637,557.1184676650081
4,23,9,2016,6,84,72,66,2,0,0.0
4,4,10,2016,6,84,77,79,1,0,0.0
4,5,10,2016,6,78,70,75,2,112,6.637152408817706
4,6,10,2016,6,78,70,75,2,338,337.73781957572976
4,7,10,2016,6,78,70,75,2,539,486.3815319388616
4,8,10,2016,6,76,71,83,2,418,425.1936955521238
4,9,10,2016,6,76,71,83,2,377,401.49391815101416
4,10,10,2016,6,76,71,83,2,461,445.46586732923316
4,11,10,2016,6,82,72,70,3,566,601.7057888563232
4,12,10,2016,6,82,72,70,3,527,609.6013915848782
4,13,10,2016,6,82,72,70,3,539,627.0036002797439
4,14,10,2016,6,85,75,72,2,774,921.7206042635228
4,15,10,2016,6,85,75,72,2,1017,1205.2565987740973
4,16,10,2016,6,85,75,72,2,1168,1418.0864585040395
4,17,10,2016,6,91,71,53,2,1597,1347.0938251596292
4,18,10,2016,6,91,71,53,2,1387,1350.1671826456477
4,19,10,2016,6,91,71,53,2,1147,1245.68808398949
4,20,10,2016,6,82,77,84,3,773,904.4941863944015
4,21,10,2016,6,82,77,84,3,579,672.6810346317801
4,22,10,2016,6,82,77,84,3,387,432.3512731674864
4,23,10,2016,6,84,72,66,2,0,0.0
4,4,11,2016,6,84,77,79,1,2,15.288799046373423
4,5,11,2016,6,78,70,75,2,383,338.46380077674354
4,6,11,2016,6,78,70,75,2,1019,979.2285390487705
4,7,11,2016,6,78,70,75,2,1266,1130.5947499472338
4,8,11,2016,6,76,71,83,2,981,1001.772992453287
4,9,11,2016,6,76,71,83,2,1023,1067.9996191632476
4,10,11,2016,6,76,71,83,2,1053,1032.0673822757267
4,11,11,2016,6,82,72,70,3,1228,1224.361913602705
4,12,11,2016,6,82,72,70,3,1425,1411.3086019057482
4,13,11,2016,6,82,72,70,3,1474,1488.7250910290234
4,14,11,2016,6,85,75,72,2,1796,1925.856707413973
4,15,11,2016,6,85,75,72,2,1985,2743.4088685725746
4,16,11,2016,6,85,75,72,2,3183,3145.567649275137
4,17,11,2016,6,91,71,53,2,2674,2670.4624575319867
4,18,11,2016,6,91,71,53,2,2858,2879.6156255753567
4,19,11,2016,6,91,71,53,2,3734,2801.496099024814
4,20,11,2016,6,82,77,84,3,2770,3057.769960019268
4,21,11,2016,6,82,77,84,3,2691,3111.8486039115187
4,22,11,2016,6,82,77,84,3,1934,2033.420158913216
4,23,11,2016,6,84,72,66,2,0,274.81008468806016
4,4,12,2016,6,84,77,79,1,0,0.0
4,5,12,2016,6,78,70,75,2,438,352.496486871428
4,6,12,2016,6,78,70,75,2,1181,939.325183490881
4,7,12,2016,6,78,70,75,2,1462,1172.1914064943408
4,8,12,2016,6,76,71,83,2,1479,1127.0321795738628
4,9,12,2016,6,76,71,83,2,1324,1240.0880050177248
4,10,12,2016,6,76,71,83,2,1132,1116.4226556226693
4,11,12,2016,6,82,72,70,3,1084,1268.951945657785
4,12,12,2016,6,82,72,70,3,1141,1248.0461669820195
4,13,12,2016,6,82,72,70,3,1225,1277.8208562134062
4,14,12,2016,6,85,75,72,2,1398,1584.8021689976101
4,15,12,2016,6,85,75,72,2,1793,2034.141801562648
4,16,12,2016,6,85,75,72,2,2483,2347.6793874718765
4,17,12,2016,6,91,71,53,2,3121,2819.0246448349003
4,18,12,2016,6,91,71,53,2,3387,2724.9303447944694
4,19,12,2016,6,91,71,53,2,2653,2692.9053989026434
4,20,12,2016,6,82,77,84,3,2355,2173.909344543652
4,21,12,2016,6,82,77,84,3,1147,1557.8521048625896
4,22,12,2016,6,82,77,84,3,550,695.2262641664436
4,23,12,2016,6,84,72,66,2,0,186.5837366189163
4,4,13,2016,6,84,77,79,1,0,29.95371818693332
4,5,13,2016,6,78,70,75,2,1366,1435.3942995590285
4,6,13,2016,6,78,70,75,2,3558,4221.091625354834
4,7,13,2016,6,78,70,75,2,5621,6277.747319376376
4,8,13,2016,6,76,71,83,2,5396,6132.148270564952
4,9,13,2016,6,76,71,83,2,4752,5008.283894777149
4,10,13,2016,6,76,71,83,2,3736,3753.309639762062
4,11,13,2016,6,82,72,70,3,3406,3938.4688502412323
4,12,13,2016,6,82,72,70,3,3960,3971.684145247937
4,13,13,2016,6,82,72,70,3,3617,3908.644601425838
4,14,13,2016,6,85,75,72,2,3874,3689.0600869849313
4,15,13,2016,6,85,75,72,2,3913,3955.78363161332
4,16,13,2016,6,85,75,72,2,4360,4378.336744850893
4,17,13,2016,6,91,71,53,2,5180,4722.2075378097925
4,18,13,2016,6,91,71,53,2,4930,4531.546306435369
4,19,13,2016,6,91,71,53,2,4048,4363.392962181745
4,20,13,2016,6,82,77,84,3,3517,3467.354300998324
4,21,13,2016,6,82,77,84,3,2263,2310.451167982416
4,22,13,2016,6,82,77,84,3,830,547.532864750644
4,23,13,2016,6,84,72,66,2,0,88.00485502700735
